"id","canton_id:id","code","name"
"__export__.ote_parroquia_030450",,"030450","La Troncal"
"__export__.ote_parroquia_030451",,"030451","Manuel J. Calle"
"__export__.ote_parroquia_030452",,"030452","Pancho Negro"
"__export__.ote_parroquia_030550",,"030550","El Tambo"
"__export__.ote_parroquia_030650",,"030650","Déleg "
"__export__.ote_parroquia_030651",,"030651","Solano"
"__export__.ote_parroquia_030750",,"030750","Suscal"
"__export__.ote_parroquia_040101",,"040101","González Suárez"
"__export__.ote_parroquia_040102",,"040102","Tulcán"
"__export__.ote_parroquia_040150",,"040150","Tulcán"
"__export__.ote_parroquia_040151",,"040151","El Carmelo (El Pun) "
"__export__.ote_parroquia_040152",,"040152","Huaca"
"__export__.ote_parroquia_040153",,"040153","Julio Andrade (Orejuela)"
"__export__.ote_parroquia_040154",,"040154","Maldonado"
"__export__.ote_parroquia_040155",,"040155","Pioter"
"__export__.ote_parroquia_040156",,"040156","Tobar Donoso (La Bocana de Camumbí)"
"__export__.ote_parroquia_040157",,"040157","Tufiño"
"__export__.ote_parroquia_040158",,"040158","Urbina (Taya)"
"__export__.ote_parroquia_040159",,"040159","El Chical"
"__export__.ote_parroquia_040160",,"040160","Mariscal Sucre"
"__export__.ote_parroquia_040161",,"040161","Santa Martha de Cuba"
"__export__.ote_parroquia_040250",,"040250","Bolívar"
"__export__.ote_parroquia_040251",,"040251","García Moreno"
"__export__.ote_parroquia_040252",,"040252","Los Andes"
"__export__.ote_parroquia_040253",,"040253","Monte Olivo"
"__export__.ote_parroquia_040254",,"040254","San Vicente de Pusir"
"__export__.ote_parroquia_040255",,"040255","San Rafael"
"__export__.ote_parroquia_040301",,"040301","El Ángel"
"__export__.ote_parroquia_040302",,"040302","27 de Septiembre"
"__export__.ote_parroquia_040350",,"040350","El Angel"
"__export__.ote_parroquia_040351",,"040351","El Goaltal"
"__export__.ote_parroquia_040352",,"040352","La Libertad (Alizo)"
"__export__.ote_parroquia_040353",,"040353","San Isidro"
"__export__.ote_parroquia_040450",,"040450","Mira (Chontahuasi)"
"__export__.ote_parroquia_040451",,"040451","Concepción"
"__export__.ote_parroquia_040452",,"040452","Jijón Y Caamaño (Cab. en Río Blanco)"
"__export__.ote_parroquia_040453",,"040453","Juan Montalvo (San Ignacio de Quil)"
"__export__.ote_parroquia_040501",,"040501","González Suárez"
"__export__.ote_parroquia_040502",,"040502","San José"
"__export__.ote_parroquia_040550",,"040550","San Gabriel"
"__export__.ote_parroquia_040551",,"040551","Cristóbal Colón"
"__export__.ote_parroquia_040552",,"040552","Chitán de Navarrete"
"__export__.ote_parroquia_040553",,"040553","Fernández Salvador"
"__export__.ote_parroquia_040554",,"040554","La Paz"
"__export__.ote_parroquia_040555",,"040555","Piartal"
"__export__.ote_parroquia_040650",,"040650","Huaca"
"__export__.ote_parroquia_040651",,"040651","Mariscal Sucre"
"__export__.ote_parroquia_050101",,"050101","Eloy Alfaro (San Felipe)"
"__export__.ote_parroquia_050102",,"050102","Ignacio Flores (Parque Flores)"
"__export__.ote_parroquia_050103",,"050103","Juan Montalvo (San Sebastián)"
"__export__.ote_parroquia_050104",,"050104","La Matriz"
"__export__.ote_parroquia_050105",,"050105","San Buenaventura"
"__export__.ote_parroquia_050150",,"050150","Latacunga"
"__export__.ote_parroquia_050151",,"050151","Alaques (Aláquez) "
"__export__.ote_parroquia_050152",,"050152","Belisario qQuevedo (Guanailín)"
"__export__.ote_parroquia_050153",,"050153","Guaitacama (Guaytacama)"
"__export__.ote_parroquia_050154",,"050154","Joseguango Bajo"
"__export__.ote_parroquia_050155",,"050155","Las Pampas"
"__export__.ote_parroquia_050156",,"050156","Mulaló"
"__export__.ote_parroquia_050157",,"050157","11 de Noviembre (Ilinchisi)"
"__export__.ote_parroquia_050158",,"050158","Poaló"
"__export__.ote_parroquia_050159",,"050159","San Juan de Pastocalle"
"__export__.ote_parroquia_050160",,"050160","Sigchos"
"__export__.ote_parroquia_050161",,"050161","Tanicuchí"
