"id","reconcile","code","name","user_type_id/id","chart_template_id:id"
"2020401","False","2020401","LOCALES ","account.data_account_type_non_current_liabilities","l10n_ec"
"2020402","False","2020402","DEL EXTERIOR ","account.data_account_type_non_current_liabilities","l10n_ec"
"20205","False","20205","OBLIGACIONES EMITIDAS ","account.data_account_type_non_current_liabilities","l10n_ec"
"20206","True","20206","ANTICIPOS DE CLIENTES ","account.data_account_type_non_current_liabilities","l10n_ec"
"2020701","False","2020701","JUBILACIÓN PATRONAL ","account.data_account_type_non_current_liabilities","l10n_ec"
"2020702","False","2020702","OTROS BENEFICIOS NO CORRIENTES PARA LOS EMPLEADOS ","account.data_account_type_non_current_liabilities","l10n_ec"
"20208","False","20208","OTRAS PROVISIONES ","account.data_account_type_non_current_liabilities","l10n_ec"
"2020901","False","2020901","INGRESOS DIFERIDOS ","account.data_account_type_non_current_liabilities","l10n_ec"
"2020902","False","2020902","PASIVOS POR IMPUESTOS DIFERIDOS ","account.data_account_type_non_current_liabilities","l10n_ec"
"20210","False","20210","OTROS PASIVOS NO CORRIENTES ","account.data_account_type_non_current_liabilities","l10n_ec"
"30101","False","30101","CAPITAL SUSCRITO o ASIGNADO ","account.data_account_type_equity","l10n_ec"
"30102","False","30102","(-) CAPITAL SUSCRITO NO PAGADO, ACCIONES EN TESORERÍA ","account.data_account_type_equity","l10n_ec"
"302","False","302","APORTES DE SOCIOS O ACCIONISTAS PARA FUTURA CAPITALIZACIÓN ","account.data_account_type_equity","l10n_ec"
"303","False","303","PRIMA POR EMISION PRIMARIA DE ACCIONES ","account.data_account_type_equity","l10n_ec"
"30401","False","30401","RESERVA LEGAL ","account.data_account_type_equity","l10n_ec"
"30402","False","30402","RESERVAS FACULTATIVA Y ESTATUTARIA ","account.data_account_type_equity","l10n_ec"
"30501","False","30501","SUPERAVIT DE ACTIVOS FINANCIEROS DISPONIBLES PARA LA VENTA ","account.data_account_type_equity","l10n_ec"
"30502","False","30502","SUPERAVIT POR REVALUACIÓN DE PROPIEDADES, PLANTA Y EQUIPO ","account.data_account_type_equity","l10n_ec"
"30503","False","30503","SUPERAVIT POR REVALUACION DE ACTIVOS INTANGIBLES ","account.data_account_type_equity","l10n_ec"
"30504","False","30504","OTROS SUPERAVIT POR REVALUACION ","account.data_account_type_equity","l10n_ec"
"30601","False","30601","GANACIAS ACUMULADAS ","account.data_account_type_equity","l10n_ec"
"30602","False","30602","(-) PÉRDIDAS ACUMULADAS ","account.data_account_type_equity","l10n_ec"
"30603","False","30603","RESULTADOS ACUMULADOS PROVENIENTES DE LA ADOPCIÓN POR PRIMERA VEZ DE LAS NIIF ","account.data_account_type_equity","l10n_ec"
"30604","False","30604","RESERVA DE CAPITAL ","account.data_account_type_equity","l10n_ec"
"30605","False","30605","RESERVA POR DONACIONES ","account.data_account_type_equity","l10n_ec"
"30606","False","30606","RESERVA POR VALUACIÓN ","account.data_account_type_equity","l10n_ec"
"30607","False","30607","SUPERÁVIT POR REVALUACIÓN DE INVERSIONES ","account.data_account_type_equity","l10n_ec"
"30701","False","30701","GANANCIA NETA DEL PERIODO ","account.data_account_type_equity","l10n_ec"
"30702","False","30702","(-) PÉRDIDA NETA DEL PERIODO ","account.data_account_type_equity","l10n_ec"
"31","False","31","PARTICIPACIÓN NO CONTROLADORA ","account.data_account_type_equity","l10n_ec"
"4101","False","4101","VENTA DE BIENES ","account.data_account_type_revenue","l10n_ec"
"4102","False","4102","PRESTACIÓN DE SERVICIOS ","account.data_account_type_revenue","l10n_ec"
"4103","False","4103","CONTRATOS DE CONSTRUCCIÓN ","account.data_account_type_revenue","l10n_ec"
"4104","False","4104","SUBVENCIONES DEL GOBIERNO ","account.data_account_type_revenue","l10n_ec"
"4105","False","4105","REGALÍAS ","account.data_account_type_revenue","l10n_ec"
"410601","False","410601","INTERESES GENERADOS POR VENTAS A CRÉDITO ","account.data_account_type_revenue","l10n_ec"
"410602","False","410602","OTROS INTERESES GENERADOS ","account.data_account_type_revenue","l10n_ec"
"4107","False","4107","DIVIDENDOS ","account.data_account_type_revenue","l10n_ec"
"4108","False","4108","GANANCIA POR MEDICIÓN A VALOR RAZONABLE DE ACTIVOS BIOLÓGICOS ","account.data_account_type_revenue","l10n_ec"
"4109","False","4109","OTROS INGRESOS DE ACTIVIDADES ORDINARIAS ","account.data_account_type_revenue","l10n_ec"
"4110","False","4110","(-) DESCUENTO EN VENTAS ","account.data_account_type_revenue","l10n_ec"
"4111","False","4111","(-) DEVOLUCIONES EN VENTAS ","account.data_account_type_revenue","l10n_ec"
"4112","False","4112","(-) BONIFICACIÓN EN PRODUCTO ","account.data_account_type_revenue","l10n_ec"
"4113","False","4113","(-) OTRAS REBAJAS COMERCIALES ","account.data_account_type_revenue","l10n_ec"
"4301","False","4301","DIVIDENDOS ","account.data_account_type_other_income","l10n_ec"
"4302","False","4302","INTERESES FINANCIEROS ","account.data_account_type_other_income","l10n_ec"
"4303","False","4303","GANANCIA EN INVERSIONES EN ASOCIADAS / SUBSIDIARIAS Y OTRAS ","account.data_account_type_other_income","l10n_ec"
"4304","False","4304","VALUACIÓN DE INSTRUMENTOS FINANCIEROS A VALOR RAZONABLE CON CAMBIO EN RESULTADOS ","account.data_account_type_other_income","l10n_ec"
"4305","False","4305","OTRAS RENTAS ","account.data_account_type_other_income","l10n_ec"
"510101","False","510101","(+) INVENTARIO INICIAL DE BIENES NO PRODUCIDOS POR LA COMPAÑÍA ","account.data_account_type_direct_costs","l10n_ec"
"510102","False","510102","(+) COMPRAS NETAS LOCALES DE BIENES NO PRODUCIDOS POR LA COMPAÑÍA ","account.data_account_type_direct_costs","l10n_ec"
"510103","False","510103","(+) IMPORTACIONES DE BIENES NO PRODUCIDOS POR LA COMPAÑÍA ","account.data_account_type_direct_costs","l10n_ec"
"510104","False","510104","(-) INVENTARIO FINAL DE BIENES NO PRODUCIDOS POR LA COMPAÑÍA ","account.data_account_type_direct_costs","l10n_ec"
"510105","False","510105","(+) INVENTARIO INICIAL DE MATERIA PRIMA ","account.data_account_type_direct_costs","l10n_ec"
"510106","False","510106","(+) COMPRAS NETAS LOCALES DE MATERIA PRIMA ","account.data_account_type_direct_costs","l10n_ec"
"510107","False","510107","(+) IMPORTACIONES DE MATERIA PRIMA ","account.data_account_type_direct_costs","l10n_ec"
"510108","False","510108","(-) INVENTARIO FINAL DE MATERIA PRIMA ","account.data_account_type_direct_costs","l10n_ec"
"510109","False","510109","(+) INVENTARIO INICIAL DE PRODUCTOS EN PROCESO ","account.data_account_type_direct_costs","l10n_ec"
"510110","False","510110","(-) INVENTARIO FINAL DE PRODUCTOS EN PROCESO ","account.data_account_type_direct_costs","l10n_ec"
"510111","False","510111","(+) INVENTARIO INICIAL PRODUCTOS TERMINADOS ","account.data_account_type_direct_costs","l10n_ec"
"510112","False","510112","(-) INVENTARIO FINAL DE PRODUCTOS TERMINADOS ","account.data_account_type_direct_costs","l10n_ec"
"510201","False","510201","SUELDOS Y BENEFICIOS SOCIALES ","account.data_account_type_direct_costs","l10n_ec"
"510202","False","510202","GASTO PLANES DE BENEFICIOS A EMPLEADOS ","account.data_account_type_direct_costs","l10n_ec"
"510301","False","510301","SUELDOS Y BENEFICIOS SOCIALES ","account.data_account_type_direct_costs","l10n_ec"
"510302","False","510302","GASTO PLANES DE BENEFICIOS A EMPLEADOS ","account.data_account_type_direct_costs","l10n_ec"
"510401","False","510401","DEPRECIACIÓN PROPIEDADES, PLANTA Y EQUIPO ","account.data_account_type_direct_costs","l10n_ec"
"510402","False","510402","DETERIORO O PÉRDIDAS DE ACTIVOS BIOLÓGICOS ","account.data_account_type_direct_costs","l10n_ec"
"510403","False","510403","DETERIORO DE PROPIEDAD, PLANTA Y EQUIPO ","account.data_account_type_direct_costs","l10n_ec"
"510404","False","510404","EFECTO VALOR NETO DE REALIZACIÓN DE INVENTARIOS ","account.data_account_type_direct_costs","l10n_ec"
"510405","False","510405","GASTO POR GARANTÍAS EN VENTA DE PRODUCTOS O SERVICIOS ","account.data_account_type_direct_costs","l10n_ec"
"510406","False","510406","MANTENIMIENTO Y REPARACIONES ","account.data_account_type_direct_costs","l10n_ec"
